PostCode,City,State
10514,PULAU PINANG,PULAU PINANG
10516,PULAU PINANG,PULAU PINANG
10518,PULAU PINANG,PULAU PINANG
10524,PULAU PINANG,PULAU PINANG
10534,PULAU PINANG,PULAU PINANG
10538,PULAU PINANG,PULAU PINANG
10540,PULAU PINANG,PULAU PINANG
10542,PULAU PINANG,PULAU PINANG
10546,PULAU PINANG,PULAU PINANG
10550,PULAU PINANG,PULAU PINANG
10551,PULAU PINANG,PULAU PINANG
10552,PULAU PINANG,PULAU PINANG
10558,PULAU PINANG,PULAU PINANG
10560,PULAU PINANG,PULAU PINANG
10564,PULAU PINANG,PULAU PINANG
10566,PULAU PINANG,PULAU PINANG
10570,PULAU PINANG,PULAU PINANG
10576,PULAU PINANG,PULAU PINANG
10578,PULAU PINANG,PULAU PINANG
10582,PULAU PINANG,PULAU PINANG
10590,PULAU PINANG,PULAU PINANG
10592,PULAU PINANG,PULAU PINANG
10593,PULAU PINANG,PULAU PINANG
10594,PULAU PINANG,PULAU PINANG
10596,PULAU PINANG,PULAU PINANG
10600,PULAU PINANG,PULAU PINANG
10604,PULAU PINANG,PULAU PINANG
10609,PULAU PINANG,PULAU PINANG
10610,PULAU PINANG,PULAU PINANG
10612,PULAU PINANG,PULAU PINANG
10620,PULAU PINANG,PULAU PINANG
10622,PULAU PINANG,PULAU PINANG
10626,PULAU PINANG,PULAU PINANG
10628,PULAU PINANG,PULAU PINANG
10634,PULAU PINANG,PULAU PINANG
10646,PULAU PINANG,PULAU PINANG
10648,PULAU PINANG,PULAU PINANG
10660,PULAU PINANG,PULAU PINANG
10661,PULAU PINANG,PULAU PINANG
10662,PULAU PINANG,PULAU PINANG
10670,PULAU PINANG,PULAU PINANG
10672,PULAU PINANG,PULAU PINANG
10673,PULAU PINANG,PULAU PINANG
10674,PULAU PINANG,PULAU PINANG
10676,PULAU PINANG,PULAU PINANG
10690,PULAU PINANG,PULAU PINANG
10710,PULAU PINANG,PULAU PINANG
10720,PULAU PINANG,PULAU PINANG
10730,PULAU PINANG,PULAU PINANG
10740,PULAU PINANG,PULAU PINANG
10750,PULAU PINANG,PULAU PINANG
10760,PULAU PINANG,PULAU PINANG
10770,PULAU PINANG,PULAU PINANG
10780,PULAU PINANG,PULAU PINANG
10790,PULAU PINANG,PULAU PINANG
10800,PULAU PINANG,PULAU PINANG
10810,PULAU PINANG,PULAU PINANG
10820,PULAU PINANG,PULAU PINANG
10830,PULAU PINANG,PULAU PINANG
10840,PULAU PINANG,PULAU PINANG
10850,PULAU PINANG,PULAU PINANG
10910,PULAU PINANG,PULAU PINANG
10920,PULAU PINANG,PULAU PINANG
10990,PULAU PINANG,PULAU PINANG
11000,BALIK PULAU,PULAU PINANG
11010,BALIK PULAU,PULAU PINANG
11020,BALIK PULAU,PULAU PINANG
11050,PULAU PINANG,PULAU PINANG
11060,PULAU PINANG,PULAU PINANG
11100,BATU FERRINGHI,PULAU PINANG
11200,TANJONG BUNGAH,PULAU PINANG
11300,PENANG HILL,PULAU PINANG
11400,PULAU PINANG,PULAU PINANG
11409,PULAU PINANG,PULAU PINANG
11500,AYER ITAM,PULAU PINANG
11600,JELUTONG,PULAU PINANG
11609,JELUTONG,PULAU PINANG
11700,GELUGOR,PULAU PINANG
11800,USM PULAU PINANG,PULAU PINANG
11900,BAYAN LEPAS,PULAU PINANG
11910,BAYAN LEPAS,PULAU PINANG
11920,BAYAN LEPAS,PULAU PINANG
11950,BAYAN LEPAS,PULAU PINANG
11960,BATU MAUNG,PULAU PINANG
12000,BUTTERWORTH,PULAU PINANG
12100,BUTTERWORTH,PULAU PINANG
12200,BUTTERWORTH,PULAU PINANG
12300,BUTTERWORTH,PULAU PINANG
12700,BUTTERWORTH,PULAU PINANG
12710,BUTTERWORTH,PULAU PINANG
12720,BUTTERWORTH,PULAU PINANG
12990,BUTTERWORTH,PULAU PINANG
13000,BUTTERWORTH,PULAU PINANG
13009,BUTTERWORTH,PULAU PINANG
13020,BUTTERWORTH,PULAU PINANG
13050,BUTTERWORTH,PULAU PINANG
13100,PENAGA,PULAU PINANG
13110,PENAGA,PULAU PINANG
13200,KEPALA BATAS,PULAU PINANG
13210,KEPALA BATAS,PULAU PINANG
13220,KEPALA BATAS,PULAU PINANG
13300,TASEK GELUGOR,PULAU PINANG
13310,TASEK GELUGOR,PULAU PINANG
13400,BUTTERWORTH,PULAU PINANG
13409,BUTTERWORTH,PULAU PINANG
13500,PERMATANG PAUH,PULAU PINANG
13600,PERAI,PULAU PINANG
13700,PERAI,PULAU PINANG
13800,BUTTERWORTH,PULAU PINANG
14000,BUKIT MERTAJAM,PULAU PINANG
14007,BUKIT MERTAJAM,PULAU PINANG
14009,BUKIT MERTAJAM,PULAU PINANG
14020,BUKIT MERTAJAM,PULAU PINANG
14100,SIMPANG AMPAT,PULAU PINANG
14101,SIMPANG AMPAT,PULAU PINANG
14110,SIMPANG AMPAT,PULAU PINANG
14120,SIMPANG AMPAT,PULAU PINANG
14200,SUNGAI JAWI,PULAU PINANG
14290,BANDAR BAHRU,KEDAH
14300,NIBONG TEBAL,PULAU PINANG
14310,NIBONG TEBAL,PULAU PINANG
14320,NIBONG TEBAL,PULAU PINANG
14390,BANDAR BAHRU,KEDAH
14400,KUBANG SEMANG,PULAU PINANG
15000,KOTA BHARU,KELANTAN
15050,KOTA BHARU,KELANTAN
15100,KOTA BHARU,KELANTAN
15150,KOTA BHARU,KELANTAN
15159,KOTA BHARU,KELANTAN
15200,KOTA BHARU,KELANTAN
15300,KOTA BHARU,KELANTAN
15350,KOTA BHARU,KELANTAN
15400,KOTA BHARU,KELANTAN
15500,KOTA BHARU,KELANTAN
15502,KOTA BHARU,KELANTAN
15503,KOTA BHARU,KELANTAN
15504,KOTA BHARU,KELANTAN
15505,KOTA BHARU,KELANTAN
15506,KOTA BHARU,KELANTAN
15508,KOTA BHARU,KELANTAN
15512,KOTA BHARU,KELANTAN
15514,KOTA BHARU,KELANTAN
15516,KOTA BHARU,KELANTAN
15517,KOTA BHARU,KELANTAN
15518,KOTA BHARU,KELANTAN
15519,KOTA BHARU,KELANTAN
15520,KOTA BHARU,KELANTAN
15524,KOTA BHARU,KELANTAN
15529,KOTA BHARU,KELANTAN
15532,KOTA BHARU,KELANTAN
15534,KOTA BHARU,KELANTAN
15536,KOTA BHARU,KELANTAN
15538,KOTA BHARU,KELANTAN
15540,KOTA BHARU,KELANTAN
15546,KOTA BHARU,KELANTAN
15548,KOTA BHARU,KELANTAN
15550,KOTA BHARU,KELANTAN
15551,KOTA BHARU,KELANTAN
15556,KOTA BHARU,KELANTAN
15558,KOTA BHARU,KELANTAN
15560,KOTA BHARU,KELANTAN
15564,KOTA BHARU,KELANTAN
15570,KOTA BHARU,KELANTAN
15572,KOTA BHARU,KELANTAN
15576,KOTA BHARU,KELANTAN
15578,KOTA BHARU,KELANTAN
15582,KOTA BHARU,KELANTAN
15586,KOTA BHARU,KELANTAN
15590,KOTA BHARU,KELANTAN
15592,KOTA BHARU,KELANTAN
15594,KOTA BHARU,KELANTAN
15596,KOTA BHARU,KELANTAN
15600,KOTA BHARU,KELANTAN
15604,KOTA BHARU,KELANTAN
15608,KOTA BHARU,KELANTAN
15609,KOTA BHARU,KELANTAN
15612,KOTA BHARU,KELANTAN
15614,KOTA BHARU,KELANTAN
15616,KOTA BHARU,KELANTAN
15622,KOTA BHARU,KELANTAN
15623,KOTA BHARU,KELANTAN
15626,KOTA BHARU,KELANTAN
15628,KOTA BHARU,KELANTAN
15630,KOTA BHARU,KELANTAN
15632,KOTA BHARU,KELANTAN
15634,KOTA BHARU,KELANTAN
15644,KOTA BHARU,KELANTAN
15646,KOTA BHARU,KELANTAN
15648,KOTA BHARU,KELANTAN
15658,KOTA BHARU,KELANTAN
15660,KOTA BHARU,KELANTAN
15661,KOTA BHARU,KELANTAN
15664,KOTA BHARU,KELANTAN
15670,KOTA BHARU,KELANTAN
15672,KOTA BHARU,KELANTAN
15673,KOTA BHARU,KELANTAN
15674,KOTA BHARU,KELANTAN
15676,KOTA BHARU,KELANTAN
15680,KOTA BHARU,KELANTAN
15690,KOTA BHARU,KELANTAN
15710,KOTA BHARU,KELANTAN
15720,KOTA BHARU,KELANTAN
15730,KOTA BHARU,KELANTAN
15740,KOTA BHARU,KELANTAN
15988,KOTA BHARU,KELANTAN
15990,KOTA BHARU,KELANTAN
16010,KOTA BHARU,KELANTAN
16020,BACHOK,KELANTAN
16030,BACHOK,KELANTAN
16040,WAKAF BHARU,KELANTAN
16050,BACHOK,KELANTAN
16060,BACHOK,KELANTAN
16070,BACHOK,KELANTAN
16080,TUMPAT,KELANTAN
16090,BACHOK,KELANTAN
16100,KOTA BHARU,KELANTAN
16109,KOTA BHARU,KELANTAN
16150,KOTA BHARU,KELANTAN
16200,TUMPAT,KELANTAN
16210,TUMPAT,KELANTAN
16250,WAKAF BHARU,KELANTAN
16300,BACHOK,KELANTAN
16310,BACHOK,KELANTAN
16320,BACHOK,KELANTAN
16400,MELOR,KELANTAN
16450,KETEREH,KELANTAN
16500,KEM DESA PAHLAWAN,KELANTAN
16600,PULAI CHONDONG,KELANTAN
16700,CHERANG RUKU,KELANTAN
16800,PASIR PUTEH,KELANTAN
16810,SELISING,KELANTAN
17000,PASIR MAS,KELANTAN
17007,PASIR MAS,KELANTAN
17009,PASIR MAS,KELANTAN
17010,PASIR MAS,KELANTAN
17020,PASIR MAS,KELANTAN
17030,PASIR MAS,KELANTAN
17040,PASIR MAS,KELANTAN
17050,PASIR MAS,KELANTAN
17060,PASIR MAS,KELANTAN
17070,PASIR MAS,KELANTAN
17200,RANTAU PANJANG,KELANTAN
17500,TANAH MERAH,KELANTAN
17507,TANAH MERAH,KELANTAN
17509,TANAH MERAH,KELANTAN
17510,TANAH MERAH,KELANTAN
17600,JELI,KELANTAN
17610,KUALA BALAH,KELANTAN
17700,AYER LANAS,KELANTAN
18000,KUALA KRAI,KELANTAN
18050,KUALA KRAI,KELANTAN
18200,DABONG,KELANTAN
18300,GUA MUSANG,KELANTAN
18400,TEMANGAN,KELANTAN
18500,MACHANG,KELANTAN
20000,KUALA TERENGGANU,TERENGGANU
20050,KUALA TERENGGANU,TERENGGANU
20100,KUALA TERENGGANU,TERENGGANU
20200,KUALA TERENGGANU,TERENGGANU
20300,KUALA TERENGGANU,TERENGGANU
20400,KUALA TERENGGANU,TERENGGANU
20500,KUALA TERENGGANU,TERENGGANU
20502,KUALA TERENGGANU,TERENGGANU
20503,KUALA TERENGGANU,TERENGGANU
20504,KUALA TERENGGANU,TERENGGANU
20505,KUALA TERENGGANU,TERENGGANU
20506,KUALA TERENGGANU,TERENGGANU
20508,KUALA TERENGGANU,TERENGGANU
20512,KUALA TERENGGANU,TERENGGANU
20514,KUALA TERENGGANU,TERENGGANU
20516,KUALA TERENGGANU,TERENGGANU
20517,KUALA TERENGGANU,TERENGGANU
20518,KUALA TERENGGANU,TERENGGANU
20519,KUALA TERENGGANU,TERENGGANU
20520,KUALA TERENGGANU,TERENGGANU
20532,KUALA TERENGGANU,TERENGGANU
20534,KUALA TERENGGANU,TERENGGANU
20536,KUALA TERENGGANU,TERENGGANU
20538,KUALA TERENGGANU,TERENGGANU
20540,KUALA TERENGGANU,TERENGGANU
20542,KUALA TERENGGANU,TERENGGANU
20546,KUALA TERENGGANU,TERENGGANU
20548,KUALA TERENGGANU,TERENGGANU
20550,KUALA TERENGGANU,TERENGGANU
20551,KUALA TERENGGANU,TERENGGANU
20552,KUALA TERENGGANU,TERENGGANU
20554,KUALA TERENGGANU,TERENGGANU
20556,KUALA TERENGGANU,TERENGGANU
20560,KUALA TERENGGANU,TERENGGANU
20564,KUALA TERENGGANU,TERENGGANU
20566,KUALA TERENGGANU,TERENGGANU
20568,KUALA TERENGGANU,TERENGGANU
20570,KUALA TERENGGANU,TERENGGANU
20572,KUALA TERENGGANU,TERENGGANU
20576,KUALA TERENGGANU,TERENGGANU
20578,KUALA TERENGGANU,TERENGGANU
20582,KUALA TERENGGANU,TERENGGANU
20586,KUALA TERENGGANU,TERENGGANU
20590,KUALA TERENGGANU,TERENGGANU
20592,KUALA TERENGGANU,TERENGGANU
20596,KUALA TERENGGANU,TERENGGANU
20600,KUALA TERENGGANU,TERENGGANU
20604,KUALA TERENGGANU,TERENGGANU
20606,KUALA TERENGGANU,TERENGGANU
20608,KUALA TERENGGANU,TERENGGANU
20609,KUALA TERENGGANU,TERENGGANU
20610,KUALA TERENGGANU,TERENGGANU
20612,KUALA TERENGGANU,TERENGGANU
20614,KUALA TERENGGANU,TERENGGANU
20618,KUALA TERENGGANU,TERENGGANU
20620,KUALA TERENGGANU,TERENGGANU
20622,KUALA TERENGGANU,TERENGGANU
20626,KUALA TERENGGANU,TERENGGANU
20628,KUALA TERENGGANU,TERENGGANU
20630,KUALA TERENGGANU,TERENGGANU
20632,KUALA TERENGGANU,TERENGGANU
20646,KUALA TERENGGANU,TERENGGANU
20648,KUALA TERENGGANU,TERENGGANU
20656,KUALA TERENGGANU,TERENGGANU
20658,KUALA TERENGGANU,TERENGGANU
20660,KUALA TERENGGANU,TERENGGANU
20661,KUALA TERENGGANU,TERENGGANU
20662,KUALA TERENGGANU,TERENGGANU
20664,KUALA TERENGGANU,TERENGGANU
20668,KUALA TERENGGANU,TERENGGANU
20670,KUALA TERENGGANU,TERENGGANU
20672,KUALA TERENGGANU,TERENGGANU
20673,KUALA TERENGGANU,TERENGGANU
20674,KUALA TERENGGANU,TERENGGANU
20676,KUALA TERENGGANU,TERENGGANU
20680,KUALA TERENGGANU,TERENGGANU
20690,KUALA TERENGGANU,TERENGGANU
20698,KUALA TERENGGANU,TERENGGANU
20700,KUALA TERENGGANU,TERENGGANU
20710,KUALA TERENGGANU,TERENGGANU
20720,KUALA TERENGGANU,TERENGGANU
20900,KUALA TERENGGANU,TERENGGANU
20902,KUALA TERENGGANU,TERENGGANU
20904,KUALA TERENGGANU,TERENGGANU
20906,KUALA TERENGGANU,TERENGGANU
20908,KUALA TERENGGANU,TERENGGANU
20910,KUALA TERENGGANU,TERENGGANU
20912,KUALA TERENGGANU,TERENGGANU
20914,KUALA TERENGGANU,TERENGGANU
20916,KUALA TERENGGANU,TERENGGANU
20918,KUALA TERENGGANU,TERENGGANU
20920,KUALA TERENGGANU,TERENGGANU
20922,KUALA TERENGGANU,TERENGGANU
20924,KUALA TERENGGANU,TERENGGANU
20926,KUALA TERENGGANU,TERENGGANU
20928,KUALA TERENGGANU,TERENGGANU
20930,KUALA TERENGGANU,TERENGGANU
20990,KUALA TERENGGANU,TERENGGANU
21000,KUALA TERENGGANU,TERENGGANU
21009,KUALA TERENGGANU,TERENGGANU
21010,KUALA TERENGGANU,TERENGGANU
21020,KUALA TERENGGANU,TERENGGANU
21030,KUALA TERENGGANU,TERENGGANU
21040,KUALA TERENGGANU,TERENGGANU
21060,KUALA TERENGGANU,TERENGGANU
21070,KUALA TERENGGANU,TERENGGANU
21080,KUALA TERENGGANU,TERENGGANU
21090,KUALA TERENGGANU,TERENGGANU
21100,KUALA TERENGGANU,TERENGGANU
21109,KUALA TERENGGANU,TERENGGANU
21200,KUALA TERENGGANU,TERENGGANU
21209,KUALA TERENGGANU,TERENGGANU
21210,KUALA TERENGGANU,TERENGGANU
21220,KUALA TERENGGANU,TERENGGANU
21300,KUALA TERENGGANU,TERENGGANU
21309,KUALA TERENGGANU,TERENGGANU
21400,BUKIT PAYONG,TERENGGANU
21450,CHALOK,TERENGGANU
21500,SUNGAI TONG,TERENGGANU
21600,MARANG,TERENGGANU
21610,MARANG,TERENGGANU
21700,KUALA BERANG,TERENGGANU
21800,AJIL,TERENGGANU
21810,AJIL,TERENGGANU
21820,AJIL,TERENGGANU
22000,JERTEH,TERENGGANU
22010,JERTEH,TERENGGANU
22020,JERTEH,TERENGGANU
22100,PERMAISURI,TERENGGANU
22107,PERMAISURI,TERENGGANU
22109,PERMAISURI,TERENGGANU
22110,PERMAISURI,TERENGGANU
22120,PERMAISURI,TERENGGANU
22200,KAMPUNG RAJA,TERENGGANU
22300,KUALA BESUT,TERENGGANU
22307,KUALA BESUT,TERENGGANU
22309,KUALA BESUT,TERENGGANU
23000,DUNGUN,TERENGGANU
23007,DUNGUN,TERENGGANU
23009,DUNGUN,TERENGGANU
23050,DUNGUN,TERENGGANU
23100,PAKA,TERENGGANU
23200,BUKIT BESI,TERENGGANU
23300,KETENGAH JAYA,TERENGGANU
23400,AL MUKTATFI BILLAH SHAH,TERENGGANU
24000,CUKAI,TERENGGANU
24007,CUKAI,TERENGGANU
24009,CUKAI,TERENGGANU
24050,AYER PUTEH,TERENGGANU
24060,CENEH,TERENGGANU
24100,KIJAL,TERENGGANU
24107,KIJAL,TERENGGANU
24109,KIJAL,TERENGGANU
24200,KEMASEK,TERENGGANU
24207,KEMASEK,TERENGGANU
24209,KEMASEK,TERENGGANU
24300,KERTEH,TERENGGANU
25000,KUANTAN,PAHANG
25050,KUANTAN,PAHANG
25100,KUANTAN,PAHANG
25150,KUANTAN,PAHANG
25200,KUANTAN,PAHANG
25250,KUANTAN,PAHANG
25300,KUANTAN,PAHANG
25350,KUANTAN,PAHANG
25500,KUANTAN,PAHANG
25502,KUANTAN,PAHANG
25503,KUANTAN,PAHANG
25504,KUANTAN,PAHANG
25505,KUANTAN,PAHANG
25506,KUANTAN,PAHANG
25508,KUANTAN,PAHANG
25509,KUANTAN,PAHANG
25512,KUANTAN,PAHANG
25514,KUANTAN,PAHANG
25516,KUANTAN,PAHANG
25517,KUANTAN,PAHANG
25518,KUANTAN,PAHANG
25520,KUANTAN,PAHANG
25524,KUANTAN,PAHANG
25529,KUANTAN,PAHANG
25532,KUANTAN,PAHANG
25534,KUANTAN,PAHANG
25536,KUANTAN,PAHANG
25538,KUANTAN,PAHANG
25540,KUANTAN,PAHANG
25546,KUANTAN,PAHANG
25548,KUANTAN,PAHANG
25550,KUANTAN,PAHANG
25551,KUANTAN,PAHANG
25552,KUANTAN,PAHANG
25556,KUANTAN,PAHANG
25558,KUANTAN,PAHANG
25560,KUANTAN,PAHANG
25564,KUANTAN,PAHANG
25570,KUANTAN,PAHANG
25576,KUANTAN,PAHANG
25578,KUANTAN,PAHANG
25582,KUANTAN,PAHANG
25584,KUANTAN,PAHANG
25586,KUANTAN,PAHANG
25590,KUANTAN,PAHANG
25592,KUANTAN,PAHANG
25594,KUANTAN,PAHANG
25596,KUANTAN,PAHANG
25598,KUANTAN,PAHANG
25600,KUANTAN,PAHANG
25604,KUANTAN,PAHANG
25606,KUANTAN,PAHANG
25608,KUANTAN,PAHANG
25609,KUANTAN,PAHANG
25610,KUANTAN,PAHANG
25612,KUANTAN,PAHANG
25614,KUANTAN,PAHANG
25620,KUANTAN,PAHANG
25622,KUANTAN,PAHANG
25626,KUANTAN,PAHANG
25628,KUANTAN,PAHANG
25630,KUANTAN,PAHANG
25632,KUANTAN,PAHANG
25644,KUANTAN,PAHANG
25646,KUANTAN,PAHANG
25648,KUANTAN,PAHANG
25656,KUANTAN,PAHANG
25660,KUANTAN,PAHANG
25661,KUANTAN,PAHANG
25662,KUANTAN,PAHANG
25670,KUANTAN,PAHANG
25672,KUANTAN,PAHANG
25673,KUANTAN,PAHANG
25674,KUANTAN,PAHANG
25676,KUANTAN,PAHANG
25690,KUANTAN,PAHANG
25700,KUANTAN,PAHANG
25710,KUANTAN,PAHANG
25720,KUANTAN,PAHANG
25730,KUANTAN,PAHANG
25740,KUANTAN,PAHANG
25750,KUANTAN,PAHANG
25990,KUANTAN,PAHANG
26010,KUANTAN,PAHANG
26040,KUANTAN,PAHANG
26050,BUKIT GOH,PAHANG
26060,KUANTAN,PAHANG
